0,1,2,3,4,5,6,7,8,9,SourceFile,TableIndex,10,11,12
POMA,JATO,"72,50","67,65","70,83","-3,18","50,83",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
ARANCIO,CARBOJ,"34,80","26,51","27,40","-0,89","27,52",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
NICOLETTI,CRISA',"20,20","12,76","13,16","-0,40","15,28",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","16,04","16,21","-0,17","18,76",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
TRINITA',DELIA,"18,00","11,67","11,33","0,34","12,04",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","47,62","47,93","-0,31","72,04",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2013-06.pdf,0,,,
RUBINO,BIRGI,"11,50","10,89","11,21","-0,32","8,59",IRRIGUO,C.B. 1 - TRAPANI,,inv_2013-06.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","6,38","6,55","-0,17","6,50",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
CIMIA,CIMIA,"10,00","9,43","8,66","0,77","8,79",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
DISUERI,GELA,"23,60","4,21","5,81","-1,60","4,42",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2013-06.pdf,0,,,
ANCIPA,TROINA,"30,40","23,42","25,60","-2,18","23,36",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-06.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","93,39","95,00","-1,61","100,21",IRR. - ELETTR.,E.N.E.L.,,inv_2013-06.pdf,0,,,
FANACO,PLATANI,"20,70","18,92","19,23","-0,31","18,41",POTABILE,SICILIACQUE,,inv_2013-06.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","59,36","59,36","0,00","62,70",POT. - IRR.,C.B. 2 - PALERMO,,inv_2013-06.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","20,17","20,45","-0,28","20,03",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
PRIZZI,RAIA,"9,20","7,03","7,08","-0,05","7,94",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-06.pdf,0,,,
OLIVO,OLIVO,"15,00","4,67","4,86","-0,19","5,17",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
LEONE,VERDURA,"4,19","4,04","4,14","-0,10","3,97",POT. - ELETTR.,SICILIACQUE,,inv_2013-06.pdf,0,,,
S. GIOVANNI,NARO,"16,30","15,32","15,64","-0,32","15,44",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","0,74","0,71","0,03","1,14",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","95,81","99,86","-4,05","97,62",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-06.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2013-06.pdf,0,,,
-3%,-3%,TOTALI,"587,86","605,24","-17,38","608,67",,,,inv_2013-06.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2013-06.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2013-05.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2013-05.pdf,0,,,
,,,"maggio
2013","aprile
2013","scarto
mese prec.","maggio
2012",,,,inv_2013-05.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","9,16","10,43","-1,27","8,53",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","25,06","25,00","0,06","20,70",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2013-05.pdf,0,,,
POMA,JATO,"72,50","70,83","72,35","-1,52","54,04",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
ARANCIO,CARBOJ,"34,80","27,40","26,80","0,60","28,49",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
NICOLETTI,CRISA',"20,20","13,16","13,35","-0,19","15,70",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","16,21","15,77","0,44","20,03",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
TRINITA',DELIA,"18,00","11,33","11,28","0,05","12,06",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","47,93","41,16","6,77","73,62",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2013-05.pdf,0,,,
RUBINO,BIRGI,"11,50","11,21","11,46","-0,25","8,84",IRRIGUO,C.B. 1 - TRAPANI,,inv_2013-05.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","6,55","6,48","0,07","6,70",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
CIMIA,CIMIA,"10,00","8,66","7,67","0,99","7,83",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
DISUERI,GELA,"23,60","5,81","6,55","-0,74","5,92",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2013-05.pdf,0,,,
ANCIPA,TROINA,"30,40","25,60","24,61","0,99","23,76",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-05.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","95,00","91,13","3,87","100,08",IRR. - ELETTR.,E.N.E.L.,,inv_2013-05.pdf,0,,,
FANACO,PLATANI,"20,70","19,23","19,33","-0,10","19,12",POTABILE,SICILIACQUE,,inv_2013-05.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","59,36","62,42","-3,06","63,80",POT. - IRR.,C.B. 2 - PALERMO,,inv_2013-05.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","20,45","20,95","-0,50","20,88",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
PRIZZI,RAIA,"9,20","7,08","7,97","-0,89","7,97",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-05.pdf,0,,,
OLIVO,OLIVO,"15,00","4,86","4,73","0,13","5,44",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
LEONE,VERDURA,"4,19","4,14","4,20","-0,06","4,19",POT. - ELETTR.,SICILIACQUE,,inv_2013-05.pdf,0,,,
S. GIOVANNI,NARO,"16,30","15,64","15,92","-0,28","15,88",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","0,71","0,73","-0,02","0,82",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","99,86","99,72","0,14","101,48",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-05.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2013-05.pdf,0,,,
-3%,1%,TOTALI,"605,24","600,01","5,23","625,88",,,,inv_2013-05.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2013-05.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2013-01.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2013-01.pdf,0,,,
,,,"gennaio
2013","dicembre
2012","scarto
mese prec.","gennaio
2012",,,,inv_2013-01.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","2,17","2,23","-0,06","2,53",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","14,83","14,08","0,75","12,70",IRR. - POT. - ELETTR,. E.N.E.L,,inv_2013-01.pdf,0,,,
POMA,JATO,"72,30","23,75","23,87","-0,12","39,91",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
ARANCIO,CARBOJ,"34,80","22,13","21,92","0,21","23,36",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
NICOLETTI,CRISA',"20,20","12,32","12,52","-0,20","13,32",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","12,59","12,90","-0,31","18,07",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
TRINITA',DELIA,"18,00","7,68","6,99","0,69","9,30",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","35,60","35,12","0,48","50,47",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2013-01.pdf,0,,,
RUBINO,BIRGI,"11,50","4,48","4,38","0,10","7,43",IRRIGUO,C.B. 1 - TRAPANI,,inv_2013-01.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","5,37","5,40","-0,03","5,47",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
CIMIA,CIMIA,"10,00","3,68","3,77","-0,09","4,82",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
DISUERI,GELA,"23,60","3,75","3,86","-0,11","3,12",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2013-01.pdf,0,,,
ANCIPA,TROINA,"30,40","5,83","0,20","5,63","6,86",IRR. - POT. - ELETTR,. E.N.E.L.,,inv_2013-01.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","26,68","23,91","2,77","28,60",IRR. - ELETTR.,E.N.E.L.,,inv_2013-01.pdf,0,,,
FANACO,PLATANI,"20,70","9,57","9,41","0,16","10,25",POTABILE,SICILIACQUE,,inv_2013-01.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","36,53","35,14","1,39","37,00",POT. - IRR.,C.B. 2 - PALERMO,,inv_2013-01.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","11,58","9,44","2,14","11,84",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
PRIZZI,RAIA,"9,20","4,05","3,26","0,79","3,83",IRR. - POT. - ELETTR,. E.N.E.L.,,inv_2013-01.pdf,0,,,
OLIVO,OLIVO,"15,00","3,44","3,31","0,13","3,03",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
LEONE,VERDURA,"4,19","3,54","3,41","0,13","3,69",POT. - ELETTR.,SICILIACQUE,,inv_2013-01.pdf,0,,,
S. GIOVANNI,NARO,"16,30","12,22","11,95","0,27","13,16",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","0,63","0,63","0,00","0,73",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","64,80","67,20","-2,40","65,09",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-01.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2013-01.pdf,0,,,
-13%,4%,TOTALI,"327,22","314,90","12,32","374,58",,,,inv_2013-01.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2013-01.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2013-04.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2013-04.pdf,0,,,
,,,"aprile
2013","marzo
2013","scarto
mese prec.","aprile
2012",,,,inv_2013-04.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","10,43","10,16","0,27","8,65",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","25,00","21,88","3,12","20,84",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2013-04.pdf,0,,,
POMA,JATO,"72,50","72,35","54,96","17,39","54,80",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
ARANCIO,CARBOJ,"34,80","26,80","26,69","0,11","28,18",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
NICOLETTI,CRISA',"20,20","13,35","12,22","1,13","15,88",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","15,77","13,63","2,14","20,07",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
TRINITA',DELIA,"18,00","11,28","11,64","-0,36","11,72",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","41,16","38,93","2,23","72,60",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2013-04.pdf,0,,,
RUBINO,BIRGI,"11,50","11,46","8,83","2,63","8,83",IRRIGUO,C.B. 1 - TRAPANI,,inv_2013-04.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","6,48","5,70","0,78","6,76",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
CIMIA,CIMIA,"10,00","7,67","5,91","1,76","6,39",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
DISUERI,GELA,"23,60","6,55","3,21","3,34","6,82",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2013-04.pdf,0,,,
ANCIPA,TROINA,"30,40","24,61","23,85","0,76","23,04",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-04.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","91,13","54,02","37,11","100,67",IRR. - ELETTR.,E.N.E.L.,,inv_2013-04.pdf,0,,,
FANACO,PLATANI,"20,70","19,33","19,35","-0,02","19,19",POTABILE,SICILIACQUE,,inv_2013-04.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","62,42","65,00","-2,58","63,76",POT. - IRR.,C.B. 2 - PALERMO,,inv_2013-04.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","20,95","19,37","1,58","20,91",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
PRIZZI,RAIA,"9,20","7,97","7,55","0,42","8,32",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-04.pdf,0,,,
OLIVO,OLIVO,"15,00","4,73","3,99","0,74","5,38",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
LEONE,VERDURA,"4,19","4,20","4,19","0,01","3,80",POT. - ELETTR.,SICILIACQUE,,inv_2013-04.pdf,0,,,
S. GIOVANNI,NARO,"16,30","15,92","15,74","0,18","15,90",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","0,73","0,69","0,04","0,75",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","99,72","99,30","0,42","101,81",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-04.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2013-04.pdf,0,,,
-4%,14%,TOTALI,"600,01","526,81","73,20","625,07",,,,inv_2013-04.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2013-04.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2013-09.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2013-09.pdf,0,,,
,,,"settembre
2013","agosto
2013","scarto
mese prec.","settembre
2012",,,,inv_2013-09.pdf,0,,,
SCANZANO,ELEUTERIO,"18,00","4,80","5,61","-0,81","4,91",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
PIANA DEGLI ALBANESI,BELICE DESTRO,"32,80","18,52","20,72","-2,20","15,80",IRR. - POT. - ELETTR.,E.N.E.L,,inv_2013-09.pdf,0,,,
POMA,JATO,"72,50","48,89","55,92","-7,03","33,06",IRR. - POT.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
ARANCIO,CARBOJ,"34,80","22,40","22,90","-0,50","22,55",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
NICOLETTI,CRISA',"20,20","11,52","11,82","-0,30","13,55",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
S. ROSALIA,IRMINIO,"20,00","14,05","14,84","-0,79","16,45",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
TRINITA',DELIA,"18,00","6,58","6,96","-0,38","6,30",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
OGLIASTRO,GORNALUNGA,"110,00","27,05","35,39","-8,34","43,14",IRRIGUO,C.B.7- CALTAGIRONE,,inv_2013-09.pdf,0,,,
RUBINO,BIRGI,"11,50","6,97","7,94","-0,97","4,57",IRRIGUO,C.B. 1 - TRAPANI,,inv_2013-09.pdf,0,,,
COMUNELLI,COMUNELI,"8,00","5,16","5,57","-0,41","5,18",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
CIMIA,CIMIA,"10,00","7,36","8,56","-1,20","6,41",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
DISUERI,GELA,"23,60","0,85","2,51","-1,66","1,80",IRRIGUO (*),DIP.TO DELL'ACQUA E DEI RIFIUTI,(*),inv_2013-09.pdf,0,,,
ANCIPA,TROINA,"30,40","9,17","11,45","-2,28","6,89",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-09.pdf,0,,,
POZZILLO,SALSO (SIMETO),"150,50","32,90","60,23","-27,33","50,79",IRR. - ELETTR.,E.N.E.L.,,inv_2013-09.pdf,0,,,
FANACO,PLATANI,"20,70","15,61","17,00","-1,39","13,85",POTABILE,SICILIACQUE,,inv_2013-09.pdf,0,,,
GARCIA,BELICE SINISTRO,"80,00","44,57","50,61","-6,04","43,69",POT. - IRR.,C.B. 2 - PALERMO,,inv_2013-09.pdf,0,,,
CASTELLO,MAGAZZOLO,"21,00","12,04","14,25","-2,21","9,28",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
PRIZZI,RAIA,"9,20","5,63","0,63","5,00","4,66",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2013-09.pdf,0,,,
OLIVO,OLIVO,"15,00","2,99","2,66","0,33","3,22",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
LEONE,VERDURA,"4,19","3,07","3,50","-0,43","3,50",POT. - ELETTR.,SICILIACQUE,,inv_2013-09.pdf,0,,,
S. GIOVANNI,NARO,"16,30","11,93","12,84","-0,91","11,30",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
GORGO LAGO,FOSSO GURRA,"3,41","0,51","0,64","-0,13","0,70",IRRIGUO,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
ROSAMARINA,S. LEONARDO,"100,00","76,74","83,54","-6,80","80,82",POT. - IRR.,DIP.TO DELL'ACQUA E DEI RIFIUTI,,inv_2013-09.pdf,0,,,
Scarto anno precedente,Scarto mese preced.,,,,,,,,,inv_2013-09.pdf,0,,,
-3%,-15%,TOTALI,"389,31","456,09","-66,78","402,42",,,,inv_2013-09.pdf,0,,,
,,,,,,,,(*)=volume al netto interrimento,,inv_2013-09.pdf,0,,,
PROSPETTO VOLUMI INVASATI NELLE DIGHE DELLA SICILIA,,,,,,,,,,inv_2013-11.pdf,0,,,
D I G A,CORSO D'ACQUA,"CAPACITA'
TOTALE D'INVASO
(Mmc)",VOLUME Mmc,,,,UTILIZZAZIONE,ENTE GESTORE,,inv_2013-11.pdf,0,,,
